SALE TYPE,SOLD YEAR,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,2018,PALO ALTO,CA,94301,9100000,4,3.5,PALO ALTO,3224,13954,1955,,2823,,Sold,,,https://www.redfin.com/CA/Palo-Alto/2170-Waverley-St-94301/home/1574545,MLSListings,ML81694374,N,Y,37.4338876,-122.1395875
PAST SALE,2018,EAST PALO ALTO,CA,94303,930000,7,6,EAST PALO ALTO,3150,6000,1952,,295,,Sold,,,https://www.redfin.com/CA/East-Palo-Alto/116-Daphne-Way-94303/home/867349,MLSListings,ML81687732,N,Y,37.45406,-122.1233501
PAST SALE,2018,PALO ALTO,CA,94306,3520000,5,3.5,PALO ALTO,3212,20411,1974,,1096,,Sold,,,https://www.redfin.com/CA/Palo-Alto/822-Mesa-Ct-94306/home/637958,MLSListings,ML81689987,N,Y,37.3954307,-122.1320458
PAST SALE,2018,PALO ALTO,CA,94301,5500000,5,5,PALO ALTO,3627,7622,1999,,1516,,Sold,,,https://www.redfin.com/CA/Palo-Alto/786-Melville-Ave-94301/home/1620618,MLSListings,ML81695202,N,Y,37.4463723,-122.1461084
PAST SALE,2018,PALO ALTO,CA,94306,3900000,5,4.5,PALO ALTO,3183,5000,2012,,1225,,Sold,,,https://www.redfin.com/CA/Palo-Alto/121-Park-Ave-94306/home/1668555,MLSListings,ML81691556,N,Y,37.4299486,-122.1507216
PAST SALE,2018,PALO ALTO,CA,94301,5060000,5,5,PALO ALTO,3412,7000,2012,,1483,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1499-Cowper-St-94301/home/1043358,MLSListings,ML81700191,N,Y,37.4407755,-122.1467738
PAST SALE,2018,PALO ALTO,CA,94303,4100000,4,3,PALO ALTO,3168,11016,1994,,1294,,Sold,,,https://www.redfin.com/CA/Palo-Alto/756-Talisman-Ct-94303/home/1208791,MLSListings,ML81702646,N,Y,37.4264887,-122.1136109
PAST SALE,2018,LOS ALTOS,CA,94022,6029000,5,7,LOS ALTOS,5480,11301,2007,,1100,,Sold,,,https://www.redfin.com/CA/Los-Altos/788-Dixon-Way-94022/home/12172552,MLSListings,ML81703700,N,Y,37.3965473,-122.1265667
PAST SALE,2018,PALO ALTO,CA,94303,5250000,5,3.5,PALO ALTO,3219,8017,1956,,1631,,Sold,,,https://www.redfin.com/CA/Palo-Alto/216-Walter-Hays-Dr-94303/home/1625841,MLSListings,ML81723683,N,Y,37.4482562,-122.1381679
PAST SALE,2018,PALO ALTO,CA,94301,4100000,5,5,PALO ALTO,3190,4875,2017,,1285,,Sold,,,https://www.redfin.com/CA/Palo-Alto/161-Bryant-St-94301/home/1178294,MLSListings,ML81723006,N,Y,37.4491978,-122.1664227
PAST SALE,2018,PALO ALTO,CA,94306,4194400,6,4,PALO ALTO,4088,7163,2003,,1026,,Sold,,,https://www.redfin.com/CA/Palo-Alto/567-Glenbrook-Dr-94306/home/1031853,MLSListings,ML81715155,N,Y,37.4053714,-122.1229951
PAST SALE,2018,PALO ALTO,CA,94303,9500000,7,6.5,PALO ALTO,6068,23221,2011,,1566,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1565-Edgewood-Dr-94303/home/727536,MLSListings,ML81704639,N,Y,37.4538939,-122.1344637
PAST SALE,2018,LOS ALTOS,CA,94022,4600000,4,3.5,LOS ALTOS,3512,15433,2002,,1310,,Sold,,,https://www.redfin.com/CA/Los-Altos/411-Mundell-Way-94022/home/753261,MLSListings,ML81723895,N,Y,37.400569,-122.1229338
PAST SALE,2018,PALO ALTO,CA,94304,3180000,5,4,PALO ALTO,3363,65479,1947,,946,,Sold,,,https://www.redfin.com/CA/Palo-Alto/2250-Old-Page-Mill-Rd-94304/home/1240173,MLSListings,ML81716740,N,Y,37.3947412,-122.1664005
